Car Name,Kilometers,Fuel,Transmission,Registration,EMI,Final Price,Location
2019 Maruti Swift,58358,CNG,Manual,DL-11,"EMI ₹8,120/m*",Account ," Gaur City mall, Multilevel parking, Greater Noida"
2015 Hyundai Eon,43518,Petrol,Manual,DL-13,₹5.33L₹4.60 lakh+ other charges,₹4.05 lakh," Metro Walk, Rohini, New Delhi"
2015 Maruti Wagon R 1.0,65974,CNG,Manual,DL-12,"EMI ₹7,918/m*",₹1.77 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2015 Honda Amaze,40807,Petrol,Manual,DL-14,₹4.40L₹4.05 lakh+ other charges,₹2.13 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2019 Maruti Swift,57241,Petrol,Manual,DL-12,"EMI ₹8,826/m*",₹2.35 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2016 Tata Tiago,79222,Petrol,Manual,DL-10,₹5.64L₹5.00 lakh+ other charges,₹3.65 lakh," Wave One Mall, Sec-18, Noida"
2019 Datsun Redi Go,34061,Petrol,Manual,HR-21,"EMI ₹9,542/m*",₹2.48 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2019 Maruti Swift,30678,Petrol,Manual,UP-13,₹4.99L₹2.87 lakh+ other charges,₹1.79 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2016 Hyundai Elite i20,65503,Petrol,Manual,HR-26,"EMI ₹4,661/m*",₹3.75 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2015 Honda City,119495,Petrol,Manual,UP-25,₹1.88L₹1.77 lakh+ other charges,₹3.09 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2014 Hyundai Grand i10,58791,Petrol,Manual,UP-80,"EMI ₹2,991/m*",₹2.75 lakh," Metro Walk, Rohini, New Delhi"
2018 Datsun Redi Go,60114,CNG,Manual,HR-14,₹2.39L₹1.53 lakh+ other charges,₹1.81 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2017 Maruti Wagon R 1.0,22695,Petrol,Manual,HR-10,"EMI ₹7,452/m*",₹1.79 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2024 KIA SONET,48161,Petrol,Manual,UP-23,₹3.65L₹3.35 lakh+ other charges,₹2.33 lakh," Metro Walk, Rohini, New Delhi"
2019 Hyundai Grand i10,50600,Petrol,Manual,HR-72,"EMI ₹7,284/m*",₹7.25 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2019 MG HECTOR,61573,Petrol,Manual,UP-80,₹4.37L₹4.13 lakh+ other charges,₹3.15 lakh," Metro Walk, Rohini, New Delhi"
2017 Maruti Swift,86606,Petrol,Manual,HR-14,"EMI ₹10,025/m*",₹7.69 lakh," Metro Walk, Rohini, New Delhi"
2017 Maruti Swift,79321,Petrol,Manual,DL-12,₹2.13 lakh+ other charges,₹2.80 lakh, DLF South Court Saket
2021 Tata PUNCH,50698,CNG,Manual,HR-51,"EMI ₹7,326/m*",₹2.50 lakh," Udyog Vihar, Sector 18, Gurgaon"
2018 Maruti Wagon R 1.0,85527,Petrol,Manual,HR-02,₹4.25L₹4.15 lakh+ other charges,₹4.65 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2021 Maruti Swift,62963,CNG,Manual,UP-80,"EMI ₹6,188/m*",₹2.65 lakh," Metro Walk, Rohini, New Delhi"
2023 Toyota Glanza,60527,Petrol,Manual,HR-51,₹2.40L₹2.35 lakh+ other charges,₹4.60 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2019 Ford FREESTYLE,55165,Diesel,Manual,HR-51,"EMI ₹8,279/m*",₹5.00 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2017 Renault Kwid,86916,Petrol,Manual,HR-06,₹4.89L₹4.69 lakh+ other charges,₹2.87 lakh," Metro Walk, Rohini, New Delhi"
2016 Maruti Swift,65394,Petrol,Manual,DL-11,"EMI ₹4,985/m*",₹1.53 lakh," Metro Walk, Rohini, New Delhi"
2022 Maruti Swift,66173,Petrol,Manual,DL-13,₹2.60L₹2.55 lakh+ other charges,₹3.35 lakh," Metro Walk, Rohini, New Delhi"
